type,map,group,stroke,color,weight,opacity,fill,fillColor,fillOpacity,popup,label
poly,fda,Study area,,red,2,1,,,,,
line,sd_line,Linear disturbances,,red,2,1,,,,,TYPE_DISTURBANCE
poly,sd_poly,Areal disturbances,,,,,TRUE,red,1,,TYPE_DISTURBANCE
poly,ifl_2000,Intactness 2000,,,,,TRUE,#99CC99',0.5,,Label
poly,ifl_2020,Intactness 2020,,,,,TRUE,#669966,0.5,,Label
poly,fires,Fires,,,,,TRUE,orange,0.5,,Year
poly,burns,Burns,,,,,TRUE,red,0.5,,Year
poly,Caribou Finlayson,Caribou Finlayson,,,,,TRUE,blue,0.5,,HERD
poly,Thinhorn Sheep,Thinhorn sheep,,,,,TRUE,green,0.5,,Range
poly,Quartz Claims,Quartz Claims,TRUE,black,1,,FALSE,,,,OWNER_NAME
poly,Placer Claims,Placer Claims,TRUE,black,1,,FALSE,,,,OWNER_NAME
poly,Key Wetlands 2011,Key Wetlands 2011,,,,,TRUE,blue,0.5,,
poly,Caribou Herds,Caribou Herds,,,,,TRUE,blue,0.5,,HERD
