"catchments" "value"
"359091" 359074
"359094" 359234
"359131" 359126
"359136" 359094
"359149" 359126
"359174" 359100
"359177" 359094
"359209" 359094
"359211" 359182
"359218" 359094
"359229" 359094
"359233" 359094
"359245" 359323
"359246" 359245
"359248" 359094
"359258" 359212
"359263" 359126
"359266" 359310
"359280" 359198
"359292" 359295
"359295" 359300
"359300" 359346
"359303" 359300
"359313" 359266
"359323" 359558
"359329" 359266
"359330" 359094
"359336" 359308
"359342" 359292
"359349" 359292
"359351" 359292
"359352" 359292
"359365" 359337
"359367" 359389
"359375" 359094
"359390" 359437
"359394" 359337
"359397" 359354
"359408" 359373
"359423" 359402
"359438" 359266
"359453" 359308
"359457" 359485
"359461" 359441
"359465" 359266
"359467" 359536
"359468" 359444
"359469" 359452
"359480" 359094
"359487" 359436
"359488" 359436
"359491" 359503
"359500" 359445
"359504" 359444
"359505" 359266
"359511" 359441
"359528" 359567
"359530" 359531
"359533" 359292
"359536" 359604
"359541" 359308
"359553" 359531
"359565" 359559
"359566" 359308
"359567" 359584
"359568" 359565
"359577" 359548
"359583" 359639
"359584" 359692
"359587" 359308
"359588" 359565
"359598" 359450
"359599" 359450
"359605" 359597
"359606" 359511
"359607" 359094
"359610" 359565
"359614" 359450
"359625" 359661
"359630" 359631
"359634" 359666
"359635" 359292
"359636" 359292
"359640" 359449
"359642" 359565
"359651" 359530
"359655" 359796
"359660" 359565
"359663" 359511
"359664" 359530
"359673" 359712
"359682" 359308
"359688" 359679
"359701" 325640
"359707" 359727
"359709" 359673
"359713" 359530
"359718" 359094
"359722" 359752
"359727" 359790
"359734" 359292
"359743" 359745
"359744" 359710
"359747" 359530
"359755" 359530
"359757" 359811
"359759" 359094
"359761" 359511
"359762" 359450
"359763" 359727
"359770" 359707
"359772" 359292
"359776" 359530
"359780" 359710
"359781" 359860
"359783" 359766
"359788" 359710
"359790" 359849
"359792" 359530
"359793" 359530
"359795" 359565
"359796" 359800
"359800" 359956
"359802" 359844
"359814" 359292
"359816" 359094
"359818" 359292
"359819" 359802
"359820" 359738
"359821" 359928
"359822" 359700
"359823" 359292
"359824" 359802
"359829" 359707
"359834" 359622
"359835" 359511
"359841" 359530
"359842" 359094
"359850" 359804
"359852" 360002
"359854" 359867
"359857" 359864
"359860" 359929
"359863" 359850
"359866" 359860
"359867" 359991
"359875" 359450
"359880" 359094
"359887" 359565
"359888" 359565
"359889" 359530
"359895" 359850
"359896" 359292
"359901" 359931
"359902" 359292
"359903" 359850
"359906" 359707
"359909" 359914
"359910" 359450
"359912" 359987
"359917" 359094
"359923" 359292
"359927" 359292
"359928" 359965
"359933" 359292
"359935" 360073
"359938" 359292
"359943" 359707
"359949" 359292
"359953" 359890
"359956" 360033
"359959" 359934
"359961" 359890
"359964" 359292
"359966" 359292
"359976" 359094
"359978" 359707
"359986" 359292
"359989" 360236
"359990" 359985
"359991" 360076
"359992" 359874
"359995" 359934
"360000" 360027
"360002" 360050
"360003" 359952
"360013" 359996
"360021" 359094
"360023" 360024
"360024" 360130
"360032" 359707
"360033" 360174
"360040" 359292
"360049" 359292
"360050" 360179
"360056" 359292
"360065" 360095
"360067" 359450
"360073" 360107
"360076" 360123
"360077" 360273
"360079" 360065
"360082" 359952
"360097" 359707
"360099" 359094
"360101" 360058
"360104" 360064
"360109" 359707
"360110" 359984
"360111" 360081
"360115" 359094
"360116" 360155
"360117" 360085
"360123" 360137
"360125" 359292
"360130" 360344
"360132" 360204
"360136" 360088
"360137" 360159
"360145" 360088
"360152" 360074
"360153" 359952
"360155" 360225
"360159" 360184
"360162" 360159
"360168" 360169
"360172" 360074
"360173" 359450
"360174" 360262
"360175" 360017
"360176" 360074
"360177" 360074
"360179" 360207
"360180" 359292
"360183" 359094
"360184" 360243
"360185" 360074
"360186" 359892
"360187" 360074
"360190" 360058
"360191" 359094
"360195" 360074
"360196" 360074
"360197" 359707
"360201" 360093
"360203" 360143
"360204" 360386
"360205" 359094
"360207" 360221
"360209" 360074
"360210" 360233
"360214" 360202
"360216" 360088
"360221" 360292
"360225" 360289
"360228" 360305
